Agency,Department,Name,Address,Location
MCG,DPL,Gaithersburg Regional Library,"18330 Montgomery Village Avenue, Gaithersburg, MD 20879","18330 Montgomery Village Avenue, Gaithersburg, MD 20879(39.157594, -77.205133)"
MCG,REC,Olney Swim Center,"16601 Georgia Ave., Olney, MD 20832","16601 Georgia Ave., Olney, MD 20832(40.68688, -73.78096)"
MCG,DPL,Poolesville Library,"19633 Fisher Avenue, Poolesville, MD 20837","19633 Fisher Avenue, Poolesville, MD 20837(40.750213, -73.782703)"
MCG,DPL,Olney Library,"3500 Olney Laytonsville Road, Olney, MD 20832","3500 Olney Laytonsville Road, Olney, MD 20832(39.154143, -77.068772)"
MCG,REC,Plum Gar Rec Center,"19561 Scenery Drive, Germantown, Md 20876","19561 Scenery Drive, Germantown, Md 20876(39.17713, -77.233675)"
MCG,DPS,Permitting Services,"255 Rockville Pike, Rockville, MD 20850","255 Rockville Pike, Rockville, MD 20850(39.084807, -77.148016)"
MCG,DPL,Kensington Park Library,"4201 Knowles Avenue, Kensington, MD 20895","4201 Knowles Avenue, Kensington, MD 20895(40.62088, -73.93448)"
MCG,DPL,Davis/Special Needs Library,"6400 Democracy Boulevard, Bethesda, MD 20817","6400 Democracy Boulevard, Bethesda, MD 20817(39.02349, -77.128782)"
MCG,DPL,Praisner (Fairland) Library,"14910 Old Columbia Pike, Burtonsville, MD 20866","14910 Old Columbia Pike, Burtonsville, MD 20866(39.100886, -76.941241)"
MCG,CEC,Bethesda/Chevy Chase Regional Service Center,"4805 Edgemoor Lane, Bethesda, MD 20814","4805 Edgemoor Lane, Bethesda, MD 20814(38.984796, -77.095858)"
MCG,CEC,Silver Spring Civic Building,"1 Veterans Pl, Silver Spring, MD 20910","1 Veterans Pl, Silver Spring, MD 20910(40.95946, -74.06173)"
MCG,REC,MLK Swim Center,"1201 Jackson Rd, Silver Spring, MD 20904","1201 Jackson Rd, Silver Spring, MD 20904(38.884459, -77.028106)"
MCG,REC,Germantown Indoor Swim Center,"18000 Central Park Cir, Boyds, MD 20841","18000 Central Park Cir, Boyds, MD 20841(39.151396, -77.303175)"
MCG,DPL,Potomac Library,"10101 Glenolden Drive, Potomac,  Md 20854","10101 Glenolden Drive, Potomac, Md 20854(39.018886, -77.207624)"
MCG,CEC,Upper Co. Comm. Ctr.,"8201 Emory Grove Road, Gaithersburg, MD 20877","8201 Emory Grove Road, Gaithersburg, MD 20877(39.149626, -77.168857)"
MCG,DPL,Bethesda Regional Library,"7400 Arlington Road, Bethesda, MD 20814","7400 Arlington Road, Bethesda, MD 20814(38.983745, -77.098579)"
MCG,DPL,Quince Orchard Library,"15831 Quince Orchard Road, Gaithersburg, MD 20878","15831 Quince Orchard Road, Gaithersburg, MD 20878(39.115805, -77.252898)"
MCG,CEC,Up-County Gov. Service Center,"12900 Middlebrook Road, Germantown, MD 20874","12900 Middlebrook Road, Germantown, MD 20874(39.179332, -77.267914)"
MCG,DPL,Wheaton Regional Library,"11701 Georgia Ave, Wheaton,  Md 20902","11701 Georgia Ave, Wheaton, Md 20902(39.047816, -77.051924)"